Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,5.00000,22.49862,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,1.00000,19.56882,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,1.00000,25.43590,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,5.00000,37.43590,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,10.00000,49.02564,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,1.00000,25.43590,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,5.00000,37.43590,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,10.00000,49.02564,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,15.00000,59.12821,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,20.00000,67.53846,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,25.00000,75.89744,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,30.00000,85.74359,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,35.00000,87.84615,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,40.00000,89.48718,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,50.00000,45.00000,90.20513,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,1.00000,17.26316,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,5.00000,24.47368,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,10.00000,30.36842,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,15.00000,37.84211,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,20.00000,42.57895,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,25.00000,48.63158,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,30.00000,55.21053,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,35.00000,59.47368,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,40.00000,63.36842,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,100.00000,45.00000,66.05263,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,1.00000,12.72222,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,5.00000,14.72222,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,200.00000,10.00000,18.55556,
